idx,basic_situation,dilemma_situation,action_type,action,negative_consequence,parties_direct,parties_indirect,values_direct,values_indirect,reason_direct,reason_indirect,values_names,values_types,wvs,mft,virtue,emotion,maslow,background,topic,topic_group
55,taking initiative.,"You're a project manager in a marketing firm. You notice a colleague using company resources for a personal project during office hours, undermining the company's policy. Should you take initiative and report this to your superior?",to_do,Report the colleague,"You report the colleague to your superior. The colleague is reprimanded and harbors resentment towards you, creating a hostile work environment. This affects team morale and productivity, leading to a decline in the quality of work.","['You', 'You', 'The colleague', 'The colleague']","['Your superior', 'Your superior', 'Other team members, the company', 'Other team members, the company']","['Honesty', 'Responsibility', 'Accountability', 'Respect for rules']","['Trust', 'Fairness', 'Integrity', 'Respect for resources']","['You are being truthful about the situation.', 'You are taking action to uphold company policy.', 'The colleague is held responsible for their actions.', 'The colleague should respect company policy.']","['Your superior trusts you to report any misconduct.', 'Your superior is expected to handle the situation fairly.', 'The team and company uphold their integrity by addressing the issue.', 'The team and company respect their resources by ensuring they are used appropriately.']","['honesty', 'responsibility', 'accountability', 'respect for rules', 'trust', 'fairness', 'integrity']","['direct', 'direct', 'direct', 'direct', 'indirect', 'indirect', 'indirect']","[nan, 'Traditional', 'Secular-rational', 'Traditional', 'Survival', 'Secular-rational', nan]","['Fairness', 'Authority', 'Fairness', 'Authority', 'Loyalty', 'Fairness', 'Fairness']","['Truthfulness', nan, nan, nan, nan, nan, nan]","['trust', nan, nan, 'trust', 'trust', 'trust', 'trust']","['self-esteem', 'self-esteem', 'self-esteem', 'safety', 'love and belonging', 'self-esteem', 'self-esteem']",re a project manager in a marketing firm,11,workplace
55,taking initiative.,"You're a project manager in a marketing firm. You notice a colleague using company resources for a personal project during office hours, undermining the company's policy. Should you take initiative and report this to your superior?",not_to_do,Not report the colleague,"You decide not to report the colleague. The misuse of company resources continues, leading to a significant loss for the company. When the issue is eventually discovered, you are held partially responsible for not reporting it, damaging your professional reputation.","['You', 'You', 'The colleague', 'The colleague']","['Your superior', 'Your superior', 'Other team members, the company', 'Other team members, the company']","['Avoidance of conflict', 'Tolerance', 'Self', 'Disregard for rules']","['Ignorance', 'Lack of oversight', 'Complicity', 'Neglect of duty']","['You choose not to report to avoid potential conflict.', ""You tolerate the colleague's actions."", 'interest', 'The colleague disregards company policy.']","['Your superior remains unaware of the situation.', 'Your superior fails to oversee the proper use of resources.', 'The team and company unknowingly become complicit in the misuse of resources.', 'The team and company neglect their duty to uphold company policy.']","['avoidance of conflict', 'tolerance', 'self', 'complicity']","['direct', 'direct', 'direct', 'indirect']","['Survival', 'Self-expression', nan, nan]","['Care', 'Fairness', nan, 'Authority']","[nan, nan, nan, nan]","['submission', 'trust', nan, 'trust']","['safety', 'self-actualization', 'self-esteem', nan]",re a project manager in a marketing firm,11,workplace
107,missing your team's matches because you're injured.,"You are a key player in your football team and you have been injured. Your team is on the verge of being eliminated and you know that if you play the next match, your team has a high chance of winning but it might worsen your injury. Do you risk your health for the sake of the team's win?",to_do,Play the match,"You decide to play, pushing through the pain. Your team wins, but your injury worsens significantly. You're forced to undergo surgery and months of rehabilitation, missing the rest of the season and jeopardizing your future in football.","['You', 'Your team', 'The opposing team']","['Your coach', ""Team's medical staff"", 'Fans', 'Family']","['courage', 'teamwork', 'competitiveness']","['responsibility', 'care', 'loyalty', 'support']","['You show bravery by playing despite the risk to your health.', 'They rely on your skills and presence to win the match.', 'They are challenged by your determination to play.']","[""They must balance the team's need to win with your health."", 'They are tasked with managing your injury and recovery.', 'They support the team regardless of the outcome.', 'They stand by your decision and worry about your wellbeing.']","['courage', 'teamwork', 'responsibility', 'care', 'loyalty', 'support']","['direct', 'direct', 'indirect', 'indirect', 'indirect', 'indirect']","[nan, nan, 'Traditional', nan, 'Traditional', nan]","[nan, 'Loyalty', 'Authority', 'Care', 'Loyalty', 'Care']","['Courage', nan, nan, nan, nan, nan]","[nan, 'trust', nan, nan, 'trust', 'trust']","['self-esteem', 'love and belonging', 'self-esteem', 'love and belonging', 'love and belonging', 'love and belonging']",are a key player in your football team and you have been injured,26,issue_young_people
107,missing your team's matches because you're injured.,"You are a key player in your football team and you have been injured. Your team is on the verge of being eliminated and you know that if you play the next match, your team has a high chance of winning but it might worsen your injury. Do you risk your health for the sake of the team's win?",not_to_do,Sit out the match,"You choose to prioritize your health and sit out the match. Your team loses and is eliminated. You face criticism from teammates and fans, but your injury heals properly, allowing you to play next season.","['You', 'Your team', 'The opposing team']","['Your coach', ""Team's medical staff"", 'Fans', 'Family']","['self', 'resilience', 'competitiveness']","['responsibility', 'care', 'patience', 'support']","['care', 'They must adapt and play without you.', ""They face a team that's missing a key player.""]","['They must strategize without you in the lineup.', 'They focus on your recovery.', 'They understand your decision and wait for your return.', 'They respect your decision and help you through recovery.']","['self', 'resilience', 'responsibility', 'care', 'patience', 'support']","['direct', 'direct', 'indirect', 'indirect', 'indirect', 'indirect']","[nan, 'Survival', 'Traditional', nan, nan, nan]","[nan, nan, 'Authority', 'Care', nan, 'Care']","[nan, nan, nan, nan, 'Patience', nan]","[nan, nan, nan, nan, 'anticipation', 'trust']","['self-esteem', 'self-esteem', 'self-esteem', 'love and belonging', nan, 'love and belonging']",are a key player in your football team and you have been injured,26,issue_young_people
176,helping someone out when they want to find new things,"You are a librarian and a frequent visitor asks for recommendations on books that will broaden their horizons. You believe that some controversial books can stimulate their thinking, but you also fear that they might be offended by these books. Should you recommend the controversial books despite the risk of offending the visitor?",to_do,Recommend controversial books,"You recommend the controversial books. The visitor reads them and is deeply offended by the content. They complain to the library management about your recommendations, leading to a reprimand for you and a loss of trust from the visitor.","['You', 'You', 'The visitor', 'The visitor']","['Library management', 'Library management', 'Other library visitors', 'Other library visitors']","['Professional integrity', 'Courage to challenge', 'Right to informed choice', 'Intellectual freedom']","['Upholding institutional reputation', 'Maintaining visitor satisfaction', 'Right to diverse recommendations', 'Freedom of thought']","['You believe in the intellectual value of the controversial books.', 'You are willing to risk offense for the sake of broadening horizons.', 'They have the right to decide whether or not they want to read the controversial books.', 'They should have the opportunity to explore different perspectives.']","['They need to ensure the library is a place of diverse thought.', 'They want to keep visitors happy with the service.', 'They may also benefit from controversial book recommendations.', 'They should be allowed to explore different ideas.']",['professional integrity'],['direct'],['Secular-rational'],['Fairness'],['Truthfulness'],['trust'],['self-esteem'],are a librarian and a frequent visitor asks for recommendations on books that will broaden their horizons,44,event_daily_life
176,helping someone out when they want to find new things,"You are a librarian and a frequent visitor asks for recommendations on books that will broaden their horizons. You believe that some controversial books can stimulate their thinking, but you also fear that they might be offended by these books. Should you recommend the controversial books despite the risk of offending the visitor?",not_to_do,Do not recommend controversial books,"You decide not to recommend the controversial books. The visitor reads the safe options but finds them unstimulating. They express disappointment in your recommendations, feeling that their intellectual growth is being stifled. They stop asking for your advice.","['You', 'You', 'The visitor', 'The visitor']","['Other library visitors', 'Other library visitors']","['Caution', ""Respect for visitor's sensitivities"", 'Right to comfortable reading', 'Avoidance of offense']","['Right to non', 'Maintaining a peaceful environment']","['You want to avoid causing offense or discomfort.', ""You are considering the visitor's potential reaction to controversial content."", 'They should be able to enjoy reading without feeling offended.', 'They should not be exposed to potentially offensive material.']","['controversial recommendations', 'They may not want the library to become a place of controversy.']",['caution'],['direct'],['Survival'],[nan],[nan],['anticipation'],['safety'],are a librarian and a frequent visitor asks for recommendations on books that will broaden their horizons,44,event_daily_life
257,wanting to keep food cool when picnicking.,"You're on a picnic with friends and brought a cooler to keep the food fresh. You notice a homeless person nearby who is visibly very hungry, but you only have enough food for your group. Do you give some of your food to the homeless person, knowing your friends might not have enough to eat later?",to_do,Giving food to the homeless person,"You decide to share your food with the homeless person. Your friends appreciate your kindness, but as the day goes on, they start to feel hungry. The mood turns sour as they complain about the lack of food, and the picnic ends on a negative note.","['You', 'You', 'The homeless person', 'The homeless person']","['Your friends', 'Your friends']","['compassion', 'selflessness', 'dignity', 'survival']","['understanding', 'sacrifice']","[""You empathize with the homeless person's hunger and want to help."", ""You put the needs of the homeless person before your own and your friends'."", 'Your act of kindness helps them maintain their dignity.', 'The food you give contributes to their basic survival needs.']","['They understand why you chose to help the homeless person.', 'They accept having less food for the sake of helping someone in need.']","['compassion', 'selflessness', 'dignity', 'survival', 'understanding', 'sacrifice']","['direct', 'direct', 'direct', 'direct', 'indirect', 'indirect']","['Self-expression', 'Traditional', nan, 'Survival', nan, 'Traditional']","['Care', 'Loyalty', 'Fairness', nan, 'Care', 'Loyalty']","[nan, nan, nan, 'Courage', nan, nan]","[nan, 'trust', nan, nan, 'trust', nan]","['self-actualization', 'self-actualization', 'self-esteem', 'physiological', 'self-actualization', nan]",re on a picnic with friends and brought a cooler to keep the food fresh,40,event_special
257,wanting to keep food cool when picnicking.,"You're on a picnic with friends and brought a cooler to keep the food fresh. You notice a homeless person nearby who is visibly very hungry, but you only have enough food for your group. Do you give some of your food to the homeless person, knowing your friends might not have enough to eat later?",not_to_do,Not giving food to the homeless person,"You decide not to share your food, prioritizing your friends' needs. However, your friends notice the hungry homeless person and your decision not to help. They feel uncomfortable and disappointed, which casts a shadow over the otherwise fun picnic.","['You', 'You']","['Your friends', 'Your friends', 'The homeless person', 'The homeless person']","['self', 'responsibility']","['comfort', 'satisfaction', 'disappointment', 'struggle']","['preservation', 'You feel responsible for ensuring your friends have enough to eat.']","['They are able to eat comfortably without worrying about running out of food.', 'They are satisfied with your decision to prioritize their needs.', 'They are disappointed by your decision not to help.', 'They continue to struggle with hunger.']","['self', 'responsibility', 'comfort', 'satisfaction', 'disappointment']","['direct', 'direct', 'indirect', 'indirect', 'indirect']","[nan, 'Traditional', 'Survival', nan, nan]","[nan, 'Authority', 'Care', nan, nan]","[nan, nan, nan, 'Courage', nan]","[nan, nan, 'trust', 'joy', 'sadness']","['self-esteem', 'self-esteem', 'physiological', 'self-actualization', nan]",re on a picnic with friends and brought a cooler to keep the food fresh,40,event_special
283,Messing with other people's possessions.,"You've been living in a shared apartment for a few months. One day, you notice that your roommate has left his private journal open on the kitchen table, and you're tempted to read it to understand his recent odd behavior. Is it ethical to invade his privacy for the sake of understanding and possibly helping him?",to_do,Reading the journal,"You decide to read the journal, hoping to understand your roommate's behavior. However, he walks in and catches you red-handed. He feels betrayed and your relationship becomes strained, leading to an uncomfortable living situation.","['You', 'You', 'You', 'Roommate', 'Roommate']","['Other roommates', 'Other roommates', 'Friends, Landlord', 'Friends, Landlord']","['Respect for privacy', 'Honesty', 'Trust', 'Right to privacy', 'Trust']","['Trust', 'Respect for privacy', 'Trust', 'Respect for privacy']","[""You violated your roommate's privacy by reading his personal journal."", ""You were dishonest in your actions by invading your roommate's privacy."", 'You broke the trust between you and your roommate by reading his journal.', 'His right to privacy was violated when you read his journal.', 'His trust in you was broken when he found you reading his journal.']","[""They may lose trust in you knowing you invaded another roommate's privacy."", ""They may feel their privacy is at risk knowing you invaded another roommate's privacy."", ""They may lose trust in you knowing you invaded your roommate's privacy."", ""They may feel their privacy is at risk knowing you invaded your roommate's privacy.""]","['respect for privacy', 'honesty', 'trust', 'right to privacy', 'trust', 'trust', 'respect for privacy', 'trust', 'respect for privacy']","['direct', 'direct', 'direct', 'direct', 'direct', 'indirect', 'indirect', 'indirect', 'indirect']","['Secular-rational', nan, 'Survival', 'Secular-rational', 'Survival', 'Survival', 'Secular-rational', 'Survival', 'Secular-rational']","['Fairness', 'Fairness', 'Loyalty', 'Fairness', 'Loyalty', 'Loyalty', 'Fairness', 'Loyalty', 'Fairness']","[nan, 'Truthfulness', nan, nan, nan, nan, nan, nan, nan]","['trust', 'trust', 'trust', nan, 'trust', 'trust', 'trust', 'trust', 'trust']","['safety', 'self-esteem', 'love and belonging', 'safety', 'love and belonging', 'love and belonging', 'safety', 'love and belonging', 'safety']",ve been living in a shared apartment for a few months,5,close_relationship
283,Messing with other people's possessions.,"You've been living in a shared apartment for a few months. One day, you notice that your roommate has left his private journal open on the kitchen table, and you're tempted to read it to understand his recent odd behavior. Is it ethical to invade his privacy for the sake of understanding and possibly helping him?",not_to_do,Not reading the journal,"You decide to respect his privacy and not read the journal. However, his odd behavior escalates and it starts affecting your daily life. You feel helpless and frustrated, not knowing how to approach the situation.","['You', 'You', 'You', 'Roommate', 'Roommate']","['Other roommates', 'Other roommates', 'Friends, Landlord', 'Friends, Landlord']","['Respect for privacy', 'Patience', 'Understanding', 'Right to privacy', 'Trust']","['Trust', 'Respect for privacy', 'Trust', 'Respect for privacy']","[""You respected your roommate's privacy by not reading his journal."", ""You showed patience by not invading your roommate's privacy despite his odd behavior."", ""You showed understanding by respecting your roommate's privacy and not reading his journal."", 'His right to privacy was respected when you decided not to read his journal.', 'His trust in you was maintained as you respected his privacy.']","[""They can trust you more knowing you respected another roommate's privacy."", ""They can feel their privacy is safe knowing you respected another roommate's privacy."", ""They can trust you more knowing you respected your roommate's privacy."", ""They can feel their privacy is safe knowing you respected your roommate's privacy.""]","['respect for privacy', 'patience', 'understanding', 'right to privacy', 'trust', 'trust', 'respect for privacy', 'trust', 'respect for privacy']","['direct', 'direct', 'direct', 'direct', 'direct', 'indirect', 'indirect', 'indirect', 'indirect']","['Secular-rational', nan, nan, 'Secular-rational', 'Survival', 'Survival', 'Secular-rational', 'Survival', 'Secular-rational']","['Fairness', nan, 'Care', 'Fairness', 'Loyalty', 'Loyalty', 'Fairness', 'Loyalty', 'Fairness']","[nan, 'Patience', nan, nan, nan, nan, nan, nan, nan]","['trust', 'anticipation', 'trust', nan, 'trust', 'trust', 'trust', 'trust', 'trust']","['safety', nan, 'self-actualization', 'safety', 'love and belonging', 'love and belonging', 'safety', 'love and belonging', 'safety']",ve been living in a shared apartment for a few months,5,close_relationship
